Excipient;Excipient (English);Chemical class;Functional category;Administration route;If po: bioavailability;Conclusion Ketoproof;Reviewer;Review date
* GEEN HULPSTOF AANWEZIG;* NO EXCIPIENT PRESENT;NA;;;;Yes;Laura N;16/06/2023
* GEEN HULPSTOF BEKEND;* NO EXCIPIENT KNOWN;NA;;;;Yes;Laura N;16/06/2023
AARDAPPELZETMEEL, GEMODIFICEERD;POTATO STARCH, MODIFIED;Starch;;;;No;Laura N;16/06/2023
AARDAPPELZETMEEL, VOORVERSTIJFSELD;POTATO STARCH, PREGELATINIZED;Starch;;;;No;Laura N;16/06/2023
ACETOGLYCERIDE;ACETOGLYCERIDE;Polyol (glyceride);;;;No;Laura N;25/07/2023
ACETYLCYSTEINE;ACETYLCYSTEINE;Organic acid?;API?;;;No;Laura N;25/07/2023
ACRYLZUURCOPOLYMEREN;ACRYLIC ACID COPOLYMERS;Polymeer;"Bioadhesive material; controlled-release agent; emulsifying agent; emulsion stabilizer; rheology modifier; stabilizing agent; suspending agent; tablet binder";Transdermal and oral (depakine chrono);;Yes;Laura N;25/07/2023
ALGELDRAAT, GELEREND;ALGINATE, GELLING;Polysaccharide;;;;No;Pascale;02/01/2024
AMMONIAK;AMMONIA;Inorganic compound;Buffering agent;;;Yes;Zikrullah;29/12/2023
APPELZUUR, L-;Malic ACID, L-;Organic acid;flavouring agent;;;No;Zikrullah;23/12/2023
ARACHIDE-OLIE;Arachis oil;Vet;;;;Yes;Eva;28/12/2023
ARGININE;ARGININE;Aminoacid;;;;Yes;Eva;28/12/2023
ARGININE HYDROCHLORIDE;ARGININE HYDROCHLORIDE;Aminoacid;;;;Yes;Eva;28/12/2023
ASCORBAAT NATRIUM;SODIUM ASCORBATE;Salt, organic acid;Antioxidant ;;;No;Zikrullah;23/12/2023
ASCORBINEZUUR;ASCORBIC ACID;Organic acid;;;;No;Laura N;30/11/2023
ASPARTAAM;ASPARTAM;;;;;Yes;Laura N;30/11/2023
AZIJNZUUR;ACETIC ACID;Organic acid;;;;No;Laura N;30/11/2023
BUTYLHYDROXYANISOL;BUTYLHYDROXYANISOLE;Phenol;Antioxidant ;Oraal, intramusculair (clozapine), cutaan, vaginaal, rectaal;Readily absorbed;No;Laura N;09/10/2023
BUTYLHYDROXYTOLUEEN;BUTYLHYDROXYTOLUENE;Phenol;Antioxidant ;Oculair, transdermaal, oromucosaal, oraal, nasaal, parenteraal, cutaan, intra-uterien, inhalatie;Readily absorbed;Yes;Lisa;27/12/2023
CALCIUMCHLORIDE;CALCIUM CHLORIDE;Inorganic salt;electrolyte;;;Yes;Gulcan;29/03/2024
CHINOLINEGEEL;QUINOLINE YELLOW;Dyes;Colouring agent;|OROMUCOSAAL|ORAAL|PARENTERAAL|CUTAAN|VAGINAAL;3-4%;Yes;Eva;28/12/2023
DINATRIUMWATERSTOFFOSFAAT 2-WATER;DISODIUM HYDROGEN PHOSPHATE 2-WATER;Phosphate;Buffer;OCULAIR|INTRAVESICAAL|SUBCUTAAN|INTRA-OCULAIR|OROMUCOSAAL|RECTAAL|INTRACAMERAAL|SUBRETINAAL|ORAAL|NASAAL|PARENTERAAL|LOKAAL|INTRAVENEUS, SUBCUTAAN|INTRA-ARTICULAIR, INTRALAESIONAAL|INTRA-ARTICULAIR|CUTAAN|INHALATIE;;Yes;Eva;28/12/2023
DISTEARYLFOSFATIDYLCHOLINE;DISTEARYLPHOSPHATIDYLCHOLINE;Phospholipid;Emulsifier  ;;;Yes;Eva;28/12/2023
EDETAAT DINATRIUM-0-WATER;EDETATE DISODIUM-0-WATER;Other;Chelating agent;;;Yes;Eva;28/12/2023
