"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"LAATSTE";"ExterneCode";"GPKODE";"NMMEMO";"NMETIK";"NMNM40";"NMNAAM";"GSKODE";"THKTVR";"GPKTVR";"THKTWG";"GPKTWG";"GPNMNR";"GPSTNR";"GPINST";"GPMLCI";"GPMLCT";"GPADVP";"GPTCVP";"THKHVS";"GPKHVS";"SPKODE";"THSTWG";"SSKTWG";"ATCODE";"THEHHV";"XPEHHV";"VRSCHEHTH";"VRSCHEHIT";"SourceCode"
"0711";"9";1;"";"01-07-2018";"";"90049586";"";"15 646 paracetamol 10 mg/ml";"15 646 paracetamol";"15-646 paracetamol IV 10mg/ml, 50ml ANDERE CENTRA";"99988224";"0006";"000540";"0007";"000010";"9991445";"0033088";"10MG/ML";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000006";"15-646";"0002";"000233";"";"";
"0711";"9";0;"";"";"";"90049632";"";"19 0235 ABEMACICLIB";"19 0235 ABEMACICLIB";"19-0235 ABEMACICLIB CAPSULE 50MG/PLACEBO FL 60ST";"99988216";"0006";"000300";"0007";"000009";"9991444";"";"50MG";"";"";"";"";"1012";"";"";"0058";"000004";"19-0235";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90050126";"";"";"";"17-1185 Epacadostat 25 mg v/p tablet";"99988097";"0006";"000230";"0007";"000009";"9991434";"";"25MG";"";"";"";"";"1012";"";"";"0058";"";"17-1185";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90050665";"";"";"";"18-1252 G1T48 200 mg tablet 35 stuks";"99987961";"0006";"000230";"0007";"000009";"9991423";"";"200MG";"";"";"";"";"1012";"";"";"0058";"";"18-1252";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90050797";"";"18 1727 MYK-461 V/P";"18 1727 MYK-461 V/P";"18-1727 MYK-461 CAPSULE 2,5/5/10/15MG V/P 30ST";"99987953";"0006";"000300";"0007";"000009";"9991422";"";"2,5/5/10/15MG";"";"";"";"";"1012";"";"";"0058";"";"18-1727";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90050894";"";"19 0338 HYDROCORTISON V/P";"19 0338 HYDROCORTISON V/P";"19-0338 HYDROCORTISON 20MG/PLACEBO TABLET 20ST";"99987937";"0006";"000230";"0007";"000009";"9991421";"0032864";"20MG";"000";"00000000";"092";"00000004";"1012";"";"00014966";"0058";"000004";"19-0338";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051149";"";"15 756 VEDOLIZUMAB 300mg";"15 756 VEDOLIZUMAB 300mg";"15-756 VEDOLIZUMAB INFUSIEPOEDER 300MG FL";"99987872";"0006";"000553";"0007";"000010";"9991417";"0263039";"300MG";"000";"00000000";"092";"00000004";"1012";"";"00061794";"0058";"000006";"15-756";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051807";"";"6000 088 CRIZOTINIB 200MG";"6000 088 CRIZOTINIB";"6000-088 CRIZOTINIB CAPSULE 200MG 60ST";"99987716";"0006";"000300";"0007";"000009";"9991403";"0247414";"200MG";"000";"00000000";"092";"00000004";"1012";"";"00059463";"0058";"000004";"6000-088";"0002";"000245";"";"";
"0711";"9";0;"";"01-07-2018";"";"90051858";"";"18 1724 RIBOCICLIB 200MG";"18 1724 RIBOCICLIB";"18-1724 RIBOCICLIB (LEE011) TABLET 200MG";"99987708";"0006";"000230";"0007";"000009";"9991402";"0291562";"200MG";"000";"00000000";"092";"00000004";"1012";"";"";"0058";"000004";"18-1724";"0002";"000245";"";"";
"0711";"9";0;"";"";"";"90051890";"";"";"";"15-716 LXH254 200 MG TABL 21 ST";"99987694";"0006";"000230";"0007";"000009";"9991401";"";"200MG";"";"";"";"";"1012";"";"";"0058";"";"15-716";"0002";"000245";"";"";
