Backup ID,Bestandnummer,Bruto formule,CAS-nummer,Code opiumwet,Code rijvaardigheid,Code stamnaam toegestaan,Code vergift,Code werkzaam bestanddeel/hulp,Databroncode,Generieke naam,Generiekenaamcode,Informatorium stof code,IsStamnaam,Molecuulgewicht,Molecuulgewicht indicator,Molecuulgewicht samenstelling,Mutatiecode,Soortelijk gewicht,Stamnaamcode,Volledige generieke naam code,Voorkeurseenheid memocode
,0750,,000000000,,,S,,W,,COMBINATIE PREPARAAT,000019,000000,TRUE,0.00,,0.00,0,0.00,000019,000019,XX
,0750,C3H6,000075194,,,S,,W,,CYCLOPROPAAN,000027,000000,TRUE,42.08,,42.08,0,0.00,000027,000027,XX
,0750,N2O,010024972,,,S,,W,,DISTIKSTOFOXIDE,000035,000010,TRUE,44.01,,44.01,0,0.00,000035,000035,ML
,0750,CHCl3,000067663,,,S,,B,,CHLOROFORM,000043,000000,TRUE,119.40,,119.40,0,1.48,000043,000043,ML
,0750,C3H2ClF5O,013838169,,,S,,W,,ENFLURAAN,000051,000000,TRUE,184.50,,184.50,0,0.00,000051,000051,XX
,0750,(C2H5)2O,000060297,,,S,,B,,ETHER,000078,000000,TRUE,74.12,,74.12,0,0.72,000078,000078,MG
,0750,CHBrCl.CF3,000151677,,,S,,W,,HALOTHAAN,000086,000000,TRUE,197.40,,197.40,0,0.00,000086,000086,XX
,0750,C3H4Cl2F2O,000076380,,,S,,W,,METHOXYFLURAAN,000094,000014,TRUE,164.97,,164.97,0,0.00,000094,000094,ML
,0750,C2HCl3,000079016,,,S,,W,,TRICHLOORETHYLEEN,000108,000000,TRUE,131.40,,131.40,0,1.47,000108,000108,ML
,0750,C14H18N2NaO3,000309364,,,,,W,,METHOHEXITAL NATRIUM,000132,001368,FALSE,284.30,,284.30,0,0.00,044229,000132,MG
,0750,C11H17N2NaO2S,000071738,,,,,W,,THIOPENTAL NATRIUM,000175,000021,FALSE,264.30,,264.30,0,0.00,048879,000175,MG
