"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"ATCODE";"ATOMS";"ATOMSE";"ATKIND";"HGROEPCODE";"RZVClaim";"SourceCode"
"0801";"9";0;"";"18-1739";LP0162-1334;"";"";KGO;0;
"0801";"9";1;"";"18-022";INTREPID-1;"";"";KGO;0;
"0801";"9";0;"";"19-0216";TRAEMOS;"";"";KGO;0;
"0801";"9";0;"";"19-0332";MK7339-010;"";"";KGO;0;
"0801";"9";0;"";"19-0331";ATLAS (AP01-002);"";"";KGO;0;
"0801";"9";0;"";"18-1494";Takeda 2002;"";"";KGO;0;
"0801";"9";0;"";"18-1727";MYK-461-005;"";"";KGO;0;
"0801";"9";0;"";"19-0149";Blueprint;"";"";KGO;0;
"0801";"9";0;"";"18-1655";CC-10004-PSA-013;"";"";KGO;0;
"0801";"9";1;"";"6000-104";NPP Cannabidiol;"";"";KGO;0;
"0801";"9";0;"";"19-0249";REDOX TAVI;"";"";KGO;0;
"0801";"9";1;"";"19-0380";Incyte INCB-39110-209;"";"";KGO;0;
"0801";"9";0;"";"6000-084";SMASH acc prog Apremilast;"";"";KGO;0;
"0801";"9";0;"";"19-0402";AL001-2;"";"";KGO;0;
"0801";"9";0;"";"19-0476";FE19FGFRcholangio;"";"";KGO;0;
"0801";"9";1;"";"8000-109";Fictieve METC nummer HOVON 156 AML / AMLSG 28-18;"";"";"69-218";0;
"0801";"9";0;"";"19-0348";COMB157G2399;"";"";KGO;0;
"0801";"9";0;"";"18-1452";IDPN;"";"";KGO;0;
"0801";"9";1;"";"6000-106";NPP Quizartinib (AC220);"";"";KGO;0;
"0801";"9";0;"";"19-0292";RVT1601-CC-04;"";"";KGO;0;
"0801";"9";1;"";"19-582";Magnitude;"";"";"69-218";0;
"0801";"9";0;"";"18-1715";CORT125134-455;"";"";KGO;0;
"0801";"9";0;"";"19-0229";CNTO1275CRD3008;"";"";KGO;0;
"0801";"9";0;"";"15-167";GO28667 / Murano;"";"";KGO-2015;0;
"0801";"9";0;"";"19-0330";EORTC 1525;"";"";KGO;0;
"0801";"9";1;"";"1500-010";VXM01-AVE-04-INT;"";"";"69-218";0;
"0801";"9";0;"";"19-0417";"0610-02";"";"";KGO;0;
"0801";"9";1;"";"19-0579";VXM01-AVE-04-INT;"";"";KGO;0;
"0801";"9";0;"";"18-1688";OPTIC;"";"";KGO;0;
"0801";"9";0;"";"19-0660";MK-5890-001-02;"";"";KGO;0;
"0801";"9";0;"";B05BA99;KOOLHYDRATEN - GLUCOSE;CARBOHYDRATES;"";B05BA;0;
"0801";"9";0;"";B05BB99;ELEKTROLYTEN - NATRIUMCHLORIDE;ELECTROLYTES;"";B05BB;0;
"0801";"9";1;"";"8000-107";MX39795 / CUPISCO;"";"";"69-218";0;
"0801";"9";1;"";"10-0078";SHP677-304;"";"";"69-218";0;
"0801";"9";0;"";"00-0078";SHP677-304;"";"";KGO;0;
"0801";"9";1;"";"6000-113";NPP Ivosidenib (AG-120);"";"";KGO;0;
"0801";"9";0;"";"19-0186";EPITOPE;"";"";KGO;0;
"0801";"9";0;"";"19-0566";SGM-LARRC;"";"";KGO;0;
"0801";"9";0;"";"19-0153";DORA (via nucleaire);"";"";KGO;0;
"0801";"9";1;"";"6000-115";Venetoclax Medical Need Program;"";"";KGO;0;
"0801";"9";0;"";"19-0463";TRAIN;"";"";KGO;0;
"0801";"9";0;"";"6000-117";PAP Dabrafenib/Trametinib;"";"";KGO;0;
"0801";"9";0;"";"19-0464";M16-833;"";"";KGO;0;
"0801";"9";0;"";"19-0120";M16-046;"";"";KGO;0;
"0801";"9";1;"";"19-0576";AS0010;"";"";KGO;0;
"0801";"9";1;"";"19-0510";HiGUS (CNTO1959HDS2002);"";"";KGO;0;
"0801";"9";0;"";"6000-118";PAP Cabozantinib;"";"";KGO;0;
"0801";"9";0;"";"6000-092";NPP Gilteritinib;"";"";KGO;0;
"0801";"0";0;"";C10BX17;ROSUVASTATINE MET RAMIPRIL;ROSUVASTATIN AND RAMIPRIL;"";C10BX;0;
"0801";"9";0;"";"19-0583";I4V-MC-JAJA;"";"";KGO;0;
"0801";"9";0;"";"19-0634";EVOLVE-FD;"";"";KGO;0;
"0801";"9";0;"";"19-0748";bb2121-MM-003 (KarMMA-3);"";"";KGO;0;
"0801";"9";0;"";"20-0062";CyPep-1 (CICILIA);"";"";KGO;0;
"0801";"9";0;"";"19-0020";COR-2017-OLE;"";"";KGO;0;
"0801";"9";1;"";"6000-119";NPP RO6874281;"";"";KGO;0;
"0801";"9";1;"";"2999-427";EDO-S101-1001;"";"";"69-218";0;
"0801";"9";1;"";"4000-030";"1432-0001";"";"";"69-218";0;
"0801";"9";1;"";"20-0060";VX18-445-104;"";"";KGO;0;
