"BSTNUM";"MUTKOD";"VERVALLEN";"BACKUPID";"TSNR";"TSITNR";"THITMK";"THAKD1";"THAKD2";"THAKD3";"THAKD4";"THAKD5";"THAKD6";"THNM15";"THNM50";"THNM4";"THNM25";"NIETVOORSC";"SourceCode"
"0902";"0";0;"";"0002";"000255";UU;G;"";"";"";"";"";USP EENHEID;USP EENHEID,INCL ANSON,ARMOUR,USNF,WALLACE,WAMPOLE;USPE;USP-E;0;
"0902";"0";0;"";"0002";"000305";KE;G;"";"";"";"";"";KALLID.INACT.EH;KALLIDINOGENASE INACTIVERENDE EENHEID;KIE;KIE;0;
"0902";"0";0;"";"0002";"000308";MK;G;"";"";"";"";"";MILJ.KIEMEN;MILJOEN KIEMEN;MK;milj.kiem;0;
"0902";"0";0;"";"0002";"000341";DE;G;"";"";"";"";"";D-ANTIGEEN EENH;D-ANTIGEEN EENHEID;D-AE;DE;0;
"0902";"0";0;"";"0002";"000343";VM;G;"";"";"";"";"";VIERKANTE MM;VIERKANTE MILLIMETER;MM2;mm2;0;
"0902";"0";0;"";"0002";"000346";AX;G;"";"";"";"";"";ANTI-XA-E;ANTIFACTOR-XA-ACTIVITEIT EENHEID;AXAE;AXa-E;0;
"0902";"0";0;"";"0002";"000347";KQ;G;"";"";"";"";"";KILOBECQUEREL;KILOBECQUEREL;KBEQ;kBq;0;
"0902";"0";0;"";"0002";"000348";GQ;G;"";"";"";"";"";GIGABECQUEREL;GIGABECQUEREL;GBQ;GBq;0;
"0902";"0";0;"";"0002";"000349";CE;G;"";"";"";"";"";CELLEN;CELLEN;CEL;cellen;0;
"0902";"0";0;"";"0002";"000350";IR;G;"";"";"";"";"";REACT. INDEX;REACTIVITEITSINDEX (STALLERGENES);RE.I;IR;0;
"0902";"0";0;"";"0002";"000351";GK;G;"";"";"";"";"";GEN.KOPIE;GENOOMKOPIEEN;GENK;gen.k;0;
"0902";"0";0;"";"0002";"000352";TG;G;"";"";"";"";"";TERGENKOP;TERAGENOOMKOPIEEN;TGK;teragenoomkopieen;0;
"0902";"0";0;"";"0002";"000353";MU;G;"";"";"";"";"";MILJ. PFU;MILJOEN PLAQUE FORMING UNITS;MPFU;milj. pfu;0;
"0902";"0";0;"";"0002";"000354";AU;G;"";"";"";"";"";ANTIGEEN-EENH;ANTIGEEN-EENHEID;AU;AU;0;
"0902";"0";0;"";"0008";"000723";"";"";"";"";"";"";"";MU/MU;MILJ. PFU / MILJ. PFU;MUMU;milj. pfu/milj. pfu;0;
"0902";"0";0;"";"0008";"000724";"";"";"";"";"";"";"";XX/MILJ. PFU;XX / MILJOEN PLAQUE FORMING UNITS;XXMU;XX/MU;0;
"0902";"0";0;"";"0040";"001368";"";"";X;"";F;"";"";"1368";COMT VAL/MET;"";COMT VAL/MET;0;
"0902";"0";0;"";"0040";"001369";"";"";X;"";F;"";"";"1369";COMT MET/MET;"";COMT MET/MET;0;
"0902";"0";0;"";"0040";"001370";"";"";"";"";F;"";"";"1370";COMT VAL/VAL (WILD TYPE);"";COMT VAL/VAL;0;
"0902";"0";0;"";"0081";"000052";"";"";"";"";"";"";"";CCC;CLINICAL CANNABIS CARE;"";CLINICAL CANNABIS CARE;0;
"0902";"0";0;"";"0017";"000002";"";"";"";"";"";"";"";TETRACYCLINES;Leeftijd jonger dan 8 jaar (tetracyclines);"";Leeftijd jonger dan 8 jr;0;
"0902";"0";0;"";"0017";"000006";"";"";"";"";"";"";"";LOPERAMIDE;Leeftijd jonger dan 3 jaar (loperamide/oxide);"";Leeftijd jonger dan 3 jr;0;
"0902";"0";0;"";"0017";"000007";"";"";"";"";"";"";"";CHINOLONEN;Leeftijd jonger dan 16 jaar (chinolonen);"";Leeftijd jonger dan 16 jr;0;
"0902";"0";0;"";"0017";"000008";"";"";"";"";"";"";"";FENOTHIAZINEN;Leeftijd jonger dan 2 jaar (fenothiazinen);"";Leeftijd jonger dan 2 jr;0;
"0902";"0";0;"";"0017";"000009";"";"";"";"";"";"";"";PROPOFOL;Leeftijd jonger dan 16 jaar (propofol);"";Leeftijd jonger dan 16 jr;0;
"0902";"0";0;"";"0017";"000010";"";"";"";"";"";"";"";LEVOMENTHOL;Leeftijd jonger dan 2 jaar (levomenthol);"";Leeftijd jonger dan 2 jr;0;
